date;isPartial;type_voedsel;product;keyword;interest
2017-12-31;False;fruit;strawberry;aardbeien;5
2018-01-07;False;fruit;strawberry;aardbeien;7
2018-01-14;False;fruit;strawberry;aardbeien;6
2018-01-21;False;fruit;strawberry;aardbeien;7
2018-01-28;False;fruit;strawberry;aardbeien;8
2018-02-04;False;fruit;strawberry;aardbeien;7
2018-02-11;False;fruit;strawberry;aardbeien;9
2018-02-18;False;fruit;strawberry;aardbeien;7
2018-02-25;False;fruit;strawberry;aardbeien;6
2018-03-04;False;fruit;strawberry;aardbeien;9
2018-03-11;False;fruit;strawberry;aardbeien;12
2018-03-18;False;fruit;strawberry;aardbeien;10
2018-03-25;False;fruit;strawberry;aardbeien;18
2018-04-01;False;fruit;strawberry;aardbeien;13
2018-04-08;False;fruit;strawberry;aardbeien;19
2018-04-15;False;fruit;strawberry;aardbeien;24
2018-04-22;False;fruit;strawberry;aardbeien;26
2018-04-29;False;fruit;strawberry;aardbeien;28
2018-05-06;False;fruit;strawberry;aardbeien;42
2018-05-13;False;fruit;strawberry;aardbeien;34
2018-05-20;False;fruit;strawberry;aardbeien;36
2018-05-27;False;fruit;strawberry;aardbeien;36
2018-06-03;False;fruit;strawberry;aardbeien;48
2018-06-10;False;fruit;strawberry;aardbeien;43
2018-06-17;False;fruit;strawberry;aardbeien;34
2018-06-24;False;fruit;strawberry;aardbeien;28
2018-07-01;False;fruit;strawberry;aardbeien;27
2018-07-08;False;fruit;strawberry;aardbeien;25
2018-07-15;False;fruit;strawberry;aardbeien;21
2018-07-22;False;fruit;strawberry;aardbeien;20
2018-07-29;False;fruit;strawberry;aardbeien;22
2018-08-05;False;fruit;strawberry;aardbeien;22
2018-08-12;False;fruit;strawberry;aardbeien;23
2018-08-19;False;fruit;strawberry;aardbeien;15
2018-08-26;False;fruit;strawberry;aardbeien;10
2018-09-02;False;fruit;strawberry;aardbeien;8
2018-09-09;False;fruit;strawberry;aardbeien;10
2018-09-16;False;fruit;strawberry;aardbeien;10
2018-09-23;False;fruit;strawberry;aardbeien;10
2018-09-30;False;fruit;strawberry;aardbeien;7
2018-10-07;False;fruit;strawberry;aardbeien;11
2018-10-14;False;fruit;strawberry;aardbeien;10
2018-10-21;False;fruit;strawberry;aardbeien;12
2018-10-28;False;fruit;strawberry;aardbeien;5
2018-11-04;False;fruit;strawberry;aardbeien;9
2018-11-11;False;fruit;strawberry;aardbeien;5
2018-11-18;False;fruit;strawberry;aardbeien;6
2018-11-25;False;fruit;strawberry;aardbeien;7
2018-12-02;False;fruit;strawberry;aardbeien;5
2018-12-09;False;fruit;strawberry;aardbeien;8
2018-12-16;False;fruit;strawberry;aardbeien;11
2018-12-23;False;fruit;strawberry;aardbeien;14
2018-12-30;False;fruit;strawberry;aardbeien;8
2019-01-06;False;fruit;strawberry;aardbeien;8
2019-01-13;False;fruit;strawberry;aardbeien;5
2019-01-20;False;fruit;strawberry;aardbeien;5
2019-01-27;False;fruit;strawberry;aardbeien;8
2019-02-03;False;fruit;strawberry;aardbeien;10
2019-02-10;False;fruit;strawberry;aardbeien;12
2019-02-17;False;fruit;strawberry;aardbeien;9
2019-02-24;False;fruit;strawberry;aardbeien;15
2019-03-03;False;fruit;strawberry;aardbeien;14
2019-03-10;False;fruit;strawberry;aardbeien;9
2019-03-17;False;fruit;strawberry;aardbeien;13
2019-03-24;False;fruit;strawberry;aardbeien;19
2019-03-31;False;fruit;strawberry;aardbeien;24
2019-04-07;False;fruit;strawberry;aardbeien;22
2019-04-14;False;fruit;strawberry;aardbeien;28
2019-04-21;False;fruit;strawberry;aardbeien;30
2019-04-28;False;fruit;strawberry;aardbeien;31
2019-05-05;False;fruit;strawberry;aardbeien;36
2019-05-12;False;fruit;strawberry;aardbeien;36
2019-05-19;False;fruit;strawberry;aardbeien;34
2019-05-26;False;fruit;strawberry;aardbeien;33
2019-06-02;False;fruit;strawberry;aardbeien;34
2019-06-09;False;fruit;strawberry;aardbeien;36
2019-06-16;False;fruit;strawberry;aardbeien;34
2019-06-23;False;fruit;strawberry;aardbeien;35
2019-06-30;False;fruit;strawberry;aardbeien;28
2019-07-07;False;fruit;strawberry;aardbeien;30
2019-07-14;False;fruit;strawberry;aardbeien;30
2019-07-21;False;fruit;strawberry;aardbeien;23
2019-07-28;False;fruit;strawberry;aardbeien;21
2019-08-04;False;fruit;strawberry;aardbeien;21
2019-08-11;False;fruit;strawberry;aardbeien;20
2019-08-18;False;fruit;strawberry;aardbeien;19
2019-08-25;False;fruit;strawberry;aardbeien;20
2019-09-01;False;fruit;strawberry;aardbeien;14
2019-09-08;False;fruit;strawberry;aardbeien;16
2019-09-15;False;fruit;strawberry;aardbeien;11
2019-09-22;False;fruit;strawberry;aardbeien;13
2019-09-29;False;fruit;strawberry;aardbeien;11
2019-10-06;False;fruit;strawberry;aardbeien;8
2019-10-13;False;fruit;strawberry;aardbeien;10
2019-10-20;False;fruit;strawberry;aardbeien;9
2019-10-27;False;fruit;strawberry;aardbeien;9
2019-11-03;False;fruit;strawberry;aardbeien;6
2019-11-10;False;fruit;strawberry;aardbeien;6
2019-11-17;False;fruit;strawberry;aardbeien;7
2019-11-24;False;fruit;strawberry;aardbeien;5
2019-12-01;False;fruit;strawberry;aardbeien;5
2019-12-08;False;fruit;strawberry;aardbeien;8
2019-12-15;False;fruit;strawberry;aardbeien;11
2019-12-22;False;fruit;strawberry;aardbeien;13
2019-12-29;False;fruit;strawberry;aardbeien;6
2020-01-05;False;fruit;strawberry;aardbeien;9
2020-01-12;False;fruit;strawberry;aardbeien;6
2020-01-19;False;fruit;strawberry;aardbeien;7
2020-01-26;False;fruit;strawberry;aardbeien;8
2020-02-02;False;fruit;strawberry;aardbeien;7
2020-02-09;False;fruit;strawberry;aardbeien;10
2020-02-16;False;fruit;strawberry;aardbeien;11
2020-02-23;False;fruit;strawberry;aardbeien;10
2020-03-01;False;fruit;strawberry;aardbeien;14
2020-03-08;False;fruit;strawberry;aardbeien;14
2020-03-15;False;fruit;strawberry;aardbeien;17
2020-03-22;False;fruit;strawberry;aardbeien;35
2020-03-29;False;fruit;strawberry;aardbeien;73
2020-04-05;False;fruit;strawberry;aardbeien;84
2020-04-12;False;fruit;strawberry;aardbeien;68
2020-04-19;False;fruit;strawberry;aardbeien;87
2020-04-26;False;fruit;strawberry;aardbeien;94
2020-05-03;False;fruit;strawberry;aardbeien;100
2020-05-10;False;fruit;strawberry;aardbeien;72
2020-05-17;False;fruit;strawberry;aardbeien;83
2020-05-24;False;fruit;strawberry;aardbeien;79
2020-05-31;False;fruit;strawberry;aardbeien;68
2020-06-07;False;fruit;strawberry;aardbeien;47
2020-06-14;False;fruit;strawberry;aardbeien;55
2020-06-21;False;fruit;strawberry;aardbeien;48
2020-06-28;False;fruit;strawberry;aardbeien;43
2020-07-05;False;fruit;strawberry;aardbeien;36
2020-07-12;False;fruit;strawberry;aardbeien;35
2020-07-19;False;fruit;strawberry;aardbeien;36
2020-07-26;False;fruit;strawberry;aardbeien;35
2020-08-02;False;fruit;strawberry;aardbeien;31
2020-08-09;False;fruit;strawberry;aardbeien;27
2020-08-16;False;fruit;strawberry;aardbeien;27
2020-08-23;False;fruit;strawberry;aardbeien;24
2020-08-30;False;fruit;strawberry;aardbeien;17
2020-09-06;False;fruit;strawberry;aardbeien;22
2020-09-13;False;fruit;strawberry;aardbeien;17
2020-09-20;False;fruit;strawberry;aardbeien;17
2020-09-27;False;fruit;strawberry;aardbeien;14
2020-10-04;False;fruit;strawberry;aardbeien;11
2020-10-11;False;fruit;strawberry;aardbeien;10
2020-10-18;False;fruit;strawberry;aardbeien;9
2020-10-25;False;fruit;strawberry;aardbeien;10
2020-11-01;False;fruit;strawberry;aardbeien;11
2020-11-08;False;fruit;strawberry;aardbeien;10
2020-11-15;False;fruit;strawberry;aardbeien;11
2020-11-22;False;fruit;strawberry;aardbeien;8
2020-11-29;False;fruit;strawberry;aardbeien;7
2020-12-06;False;fruit;strawberry;aardbeien;8
2020-12-13;False;fruit;strawberry;aardbeien;9
2020-12-20;False;fruit;strawberry;aardbeien;25
2020-12-27;False;fruit;strawberry;aardbeien;12
2021-01-03;False;fruit;strawberry;aardbeien;12
2021-01-10;False;fruit;strawberry;aardbeien;12
2021-01-17;False;fruit;strawberry;aardbeien;17
2021-01-24;False;fruit;strawberry;aardbeien;15
2021-01-31;False;fruit;strawberry;aardbeien;17
2021-02-07;False;fruit;strawberry;aardbeien;12
2021-02-14;False;fruit;strawberry;aardbeien;16
2021-02-21;False;fruit;strawberry;aardbeien;18
2021-02-28;False;fruit;strawberry;aardbeien;20
2021-03-07;False;fruit;strawberry;aardbeien;19
2021-03-14;False;fruit;strawberry;aardbeien;19
2021-03-21;False;fruit;strawberry;aardbeien;39
2021-03-28;False;fruit;strawberry;aardbeien;57
2021-04-04;False;fruit;strawberry;aardbeien;64
2021-04-11;False;fruit;strawberry;aardbeien;66
2021-04-18;False;fruit;strawberry;aardbeien;70
2021-04-25;False;fruit;strawberry;aardbeien;71
2021-05-02;False;fruit;strawberry;aardbeien;67
2021-05-09;False;fruit;strawberry;aardbeien;65
2021-05-16;False;fruit;strawberry;aardbeien;45
2021-05-23;False;fruit;strawberry;aardbeien;47
2021-05-30;False;fruit;strawberry;aardbeien;39
2021-06-06;False;fruit;strawberry;aardbeien;45
2021-06-13;False;fruit;strawberry;aardbeien;55
2021-06-20;False;fruit;strawberry;aardbeien;46
2021-06-27;False;fruit;strawberry;aardbeien;41
2021-07-04;False;fruit;strawberry;aardbeien;33
2021-07-11;False;fruit;strawberry;aardbeien;30
2021-07-18;False;fruit;strawberry;aardbeien;32
2021-07-25;False;fruit;strawberry;aardbeien;27
2021-08-01;False;fruit;strawberry;aardbeien;27
2021-08-08;False;fruit;strawberry;aardbeien;23
2021-08-15;False;fruit;strawberry;aardbeien;21
2021-08-22;False;fruit;strawberry;aardbeien;26
2021-08-29;False;fruit;strawberry;aardbeien;19
2021-09-05;False;fruit;strawberry;aardbeien;20
2021-09-12;False;fruit;strawberry;aardbeien;19
2021-09-19;False;fruit;strawberry;aardbeien;17
2021-09-26;False;fruit;strawberry;aardbeien;15
2021-10-03;False;fruit;strawberry;aardbeien;14
2021-10-10;False;fruit;strawberry;aardbeien;15
2021-10-17;False;fruit;strawberry;aardbeien;11
2021-10-24;False;fruit;strawberry;aardbeien;8
2021-10-31;False;fruit;strawberry;aardbeien;6
2021-11-07;False;fruit;strawberry;aardbeien;9
2021-11-14;False;fruit;strawberry;aardbeien;6
2021-11-21;False;fruit;strawberry;aardbeien;5
2021-11-28;False;fruit;strawberry;aardbeien;7
2021-12-05;False;fruit;strawberry;aardbeien;8
2021-12-12;False;fruit;strawberry;aardbeien;10
2021-12-19;False;fruit;strawberry;aardbeien;18
2021-12-26;False;fruit;strawberry;aardbeien;10
2017-12-31;False;fruit;apricot;abrikoos;46
2018-01-07;False;fruit;apricot;abrikoos;33
2018-01-14;False;fruit;apricot;abrikoos;0
2018-01-21;False;fruit;apricot;abrikoos;23
2018-01-28;False;fruit;apricot;abrikoos;10
2018-02-04;False;fruit;apricot;abrikoos;37
2018-02-11;False;fruit;apricot;abrikoos;27
2018-02-18;False;fruit;apricot;abrikoos;40
2018-02-25;False;fruit;apricot;abrikoos;31
2018-03-04;False;fruit;apricot;abrikoos;9
2018-03-11;False;fruit;apricot;abrikoos;15
2018-03-18;False;fruit;apricot;abrikoos;25
2018-03-25;False;fruit;apricot;abrikoos;37
2018-04-01;False;fruit;apricot;abrikoos;31
2018-04-08;False;fruit;apricot;abrikoos;61
2018-04-15;False;fruit;apricot;abrikoos;0
2018-04-22;False;fruit;apricot;abrikoos;86
2018-04-29;False;fruit;apricot;abrikoos;26
2018-05-06;False;fruit;apricot;abrikoos;61
2018-05-13;False;fruit;apricot;abrikoos;40
2018-05-20;False;fruit;apricot;abrikoos;74
2018-05-27;False;fruit;apricot;abrikoos;35
2018-06-03;False;fruit;apricot;abrikoos;48
2018-06-10;False;fruit;apricot;abrikoos;65
2018-06-17;False;fruit;apricot;abrikoos;57
2018-06-24;False;fruit;apricot;abrikoos;67
2018-07-01;False;fruit;apricot;abrikoos;100
2018-07-08;False;fruit;apricot;abrikoos;50
2018-07-15;False;fruit;apricot;abrikoos;22
2018-07-22;False;fruit;apricot;abrikoos;77
2018-07-29;False;fruit;apricot;abrikoos;51
2018-08-05;False;fruit;apricot;abrikoos;21
2018-08-12;False;fruit;apricot;abrikoos;13
2018-08-19;False;fruit;apricot;abrikoos;13
2018-08-26;False;fruit;apricot;abrikoos;45
2018-09-02;False;fruit;apricot;abrikoos;51
2018-09-09;False;fruit;apricot;abrikoos;26
